State,Item No,Amount
AL,09001,3
CA,00050,868
IA,00004,352
UT,02102,37
CA,00245,264
SD,02493,16
NM,00510,12
UT,00115,389
ME,00184,17
NJ,00508,27
VA,00061,172
KY,00379,55
WA,00427,214
NJ,00070,169
NM,00192,16
OK,00613,9
NJ,00012,109
UT,00617,50
TX,02491,349
IA,02002,3
ME,00018,14
AL,00260,19
KS,00765,3
UT,00120,190
ID,03090,14
WV,00199,18
CO,02001,19
SC,02486,60
ID,00820,43
AK,00012,65
OK,02435,9
SC,00004,152
OH,00210,87
MD,00080,45
NJ,00617,13
WV,00102,23
NE,00810,92
AL,00245,16
WY,00128,118
KS,00995,12
MS,00400,13
AL,00001,94
WA,00022,102
SD,00851,93
PA,00845,431
NM,00123,14
KS,00074,8
ID,00750,38
OH,02001,7
WA,00821,80
PA,00966,212
FL,00491,1948
SK,00872,9
NY,02481,4
CO,00460,200
ND,00720,6
FL,00428,59
NJ,00210,120
SK,00843,4
IN,00074,8
IL,00018,154
NY,00850,640
GA,00044,179
OR,00002,87
VA,00402,9
CT,00405,16
WY,00250,6
NV,00056,94
CO,02003,327
AL,00133,95
SD,00126,216
HI,00942,34
MB,00850,19
IN,00755,5
WI,00400,8
IN,00077,5
CO,00755,14
CO,02080,101
SC,00298,8
AL,00995,7
MD,02062,6
GA,00199,810
KS,00520,4
IL,00613,152
ND,02022,60
NY,00630,187
MI,00613,520
MI,00975,7
TN,02078,12
OH,00433,367
ND,00072,52
MI,00610,158
VA,00492,307
SC,00082,7
UT,00022,262
PA,00134,129
CO,00073,93
MT,01004,12
VT,00058,7
PA,02775,4
UT,00460,417
VA,00383,11
CA,02102,213
KS,00916,30
MA,00381,4
ID,00050,54
OR,00199,353
WA,00530,88
UT,00941,304
HI,00855,3
MT,02075,4
ND,00111,167
FL,00725,10
KY,02060,4
TX,00075,728
CA,00460,666
CO,00056,410
VA,00990,18
KY,00851,7
CO,00050,224
WY,01102,8
OR,00114,21
MS,00005,136
OK,00004,178
CT,00044,33
NH,00188,4
SC,00400,11
NJ,00403,182
ND,02056,27
NE,00270,60
GA,00120,154
TN,00058,163
BC,00510,15
NV,00120,7
WV,00018,8
SC,00851,109
CO,00079,130
IL,00060,196
NE,00943,81
AL,00433,52
IN,00199,172
WI,00360,22
WI,00872,109
HI,00002,10
TN,00111,44
NC,00508,10
SD,02408,4
NE,00187,95
VA,00405,15
KS,00883,16
AZ,02494,128
SD,00379,66
AZ,00920,8
PA,DC854,1810
MO,00870,76
CA,00910,10
OH,02024,16
SC,02004,61
WI,00510,87
WA,02400,15
IL,00379,130
NC,00630,222
TX,02483,31
ND,00960,4
AR,00187,56
IN,04000,5
CT,01003,3
CO,00740,31
NJ,02004,85
MO,00811,71
MA,00132,12
KS,00102,54
MS,00510,4
MT,02003,45
MD,00865,6
VA,00018,160
IA,02491,37
VA,00433,303
TN,02082,18
IL,00294,4
NM,00616,40
VA,02408,31
NY,02031,184
ID,00402,86
WV,00880,21
MI,00404,1205
NE,00941,63
SC,00048,42
CO,09001,12
MI,00488,1840
MA,00483,20
NV,04000,5
WA,00006,276
MO,00128,220
IA,00100,74
MN,00243,61
NC,02435,26
NH,00131,13
CO,00298,41
TN,00881,31
TX,00024,679
GA,00155,149
VT,00129,58
SD,00875,246
ND,00197,3
KY,00022,19
HI,00870,12
NC,00841,35
VT,02005,4
MT,00870,89
KS,00493,184
DE,00520,4
SD,00381,11
FL,00851,281
NJ,00044,110
OR,00004,411
MT,00133,80
ID,00079,42
TN,00123,27
TX,00765,69
AL,00056,173
OR,00155,195
TX,00435,652
NM,00730,3
KS,00450,70
MN,01004,45
OR,00850,278
PA,00243,275
TN,00965,27
WI,00875,185
SD,00872,69
NC,00750,17
WA,00950,8
MT,00188,27
IA,00406,197
MN,00725,31
KY,00155,19
AR,00072,68
ON,00943,34
AL,00435,54
MT,00111,35
NY,01005,7
KS,00990,6
NV,00031,177
LA,00082,4
KY,00402,3
MD,00195,3
NV,02061,7
GA,00870,407
AZ,04100,10
NM,00108,4
UT,02004,99
SC,00196,8
ID,00012,90
AZ,00375,19
HI,02435,12
MO,00074,55
MO,00610,92
OR,00406,269
NC,00005,29
TN,00003,782
WA,00404,1128
AL,00460,43
GA,00965,75
NH,00017,5
AK,00019,13
IN,00180,12
CO,00995,92
HI,00241,4
CO,00071,4
IN,00128,23
IL,00133,105
GA,00005,519
CA,01102,98
NE,00150,10
NJ,00433,342
AL,00073,5
NC,00184,282
FL,00750,20
ID,00725,50
OK,02493,15
CT,02072,7
CT,00619,3
MT,00942,43
NJ,00242,4
MD,00433,59
DE,00510,3
NM,00001,32
TN,00005,463
WI,00243,5
TX,00041,379
CO,00403,340
LA,00408,20
OK,00197,3
OH,00058,141
TX,00132,35
NV,00625,47
PA,00077,62
TX,02031,172
MB,00943,5
NJ,02082,5
CO,00841,13
MT,00660,10
AR,00045,41
IL,00520,63
AK,00140,38
NV,00450,46
TX,00073,299
AZ,00402,70
NE,00032,73
AK,00619,6
MI,00014,766
HI,00882,17
CT,00058,19
WI,00845,5
NC,02078,4
NJ,00400,27
NC,00133,125
NC,00491,289
OR,00129,452
GA,01435,39
MN,00101,627
NC,00130,44
TX,00916,190
PA,00843,1392
MA,00045,123
FL,00910,13
AR,00012,113
VA,00467,208
PA,00481,168
AK,01102,44
AZ,00482,67
WA,00079,71
AK,00400,4
VA,00404,459
KY,00019,16
NV,00995,9
GA,00180,209
AK,09001,47
WY,00486,37
NE,00078,73
ID,00071,7
UT,00934,9
SC,02077,65
IA,00210,3
NV,00404,149
OH,00140,128
MN,00775,36
PR,00433,4
AZ,00060,262
TX,00050,506
GA,00111,137
TX,00380,87
WV,00941,11
MS,00134,7
NV,00735,4
AR,02001,8
GA,00943,579
NH,00080,32
NH,00195,3
KS,03090,3
PA,02061,223
MN,00940,229
MA,00613,11
NM,00745,10
OR,02074,5
MI,02078,7
WA,00380,24
WV,00486,3
ON,00032,5
OR,00943,153
MB,00486,17
MN,00080,159
ME,00467,7
NM,00883,30
MA,02488,180
UT,00406,629
OH,00770,22
OH,02082,4
MO,00131,139
MI,00380,67
WI,00483,48
NV,00408,110
AZ,00379,52
KY,00943,44
TX,02061,55
ID,00851,18
MI,00950,14
PA,00840,485
SC,02483,13
AZ,02491,60
AR,00380,24
WV,02074,4
FL,00820,263
MD,00006,29
GA,00930,62
NV,00916,11
NC,02061,11
GA,00745,75
WA,00450,263
NM,00880,48
WA,00242,4
MI,00242,17
MO,00785,4
IL,00077,11
IL,00245,171
CT,00625,3
SD,00400,17
MS,00120,48
VA,00079,68
IL,02072,3
BC,00488,8
WY,00197,5
CA,02483,88
NH,00002,63
HI,00508,7
CA,02070,33
WI,00006,82
PA,00508,131
NJ,00492,402
KS,00350,30
OH,00132,20
IN,00871,6
SD,00077,6
MT,02492,26
GA,02486,20
TN,00360,12
GA,00184,326
CO,00735,13
AR,02770,5
PA,00241,278
CA,01488,381
AK,00433,75
OR,02494,48
TX,00735,116
IL,00130,5
MD,00530,14
IN,00120,13
WA,00872,111
BC,00195,7
WV,00019,5
PA,00760,87
MO,00720,27
TN,00975,4
NY,02061,11
VT,00200,85
NC,03090,21
SC,00032,46
AR,00875,67
AL,00851,22
AK,00404,128
NY,02002,42
IN,02486,12
GA,02050,9
IN,00155,12
GA,02002,29
MA,00510,7
AL,00041,98
AL,00031,141
IL,00180,60
NH,00491,183
ND,02486,53
BC,00024,18
SC,02494,9
MO,00755,11
MT,00200,39
PA,02072,11
MI,VP941,13
GA,00133,238
IA,02060,16
NJ,02488,69
AZ,00014,425
MA,00467,171
NC,00870,163
OH,00735,12
ID,02493,85
MO,00017,156
NY,00950,7
DE,00488,3
NY,00625,219
AL,00126,117
ND,00079,51
NH,00138,32
NY,00195,58
NH,00115,85
NV,00720,13
NV,00129,147
LA,00811,14
ON,00072,8
UT,00850,1881
PA,00821,126
IA,00995,11
KS,00245,6
CA,00990,77
WA,00383,12
MI,00058,577
DE,00450,11
CA,00735,210
MA,00245,123
WV,00406,19
NE,00350,92
NE,00111,57
MO,03090,29
NM,00101,24
TN,00187,90
AR,00530,50
LA,00048,6
NV,00610,41
TN,00630,80
IA,02080,3
NV,00123,8
AZ,00875,120
MI,02735,4
SC,00078,25
TN,00617,13
ME,00006,8
VA,00811,52
KS,00810,71
AL,00012,21
ND,00750,10
WA,00039,460
NM,00032,61
MA,00375,5
VA,00408,238
CA,00851,717
WA,00619,48
KY,02493,5
IN,00810,112
VA,00613,68
NY,00740,18
MO,00619,11
NE,02492,8
ID,00018,213
UT,00745,18
IL,00199,423
CA,00925,47
SD,00740,98
IN,00510,29
WY,00032,68
NY,00965,31
MN,00108,80
TX,00102,1149
NC,00058,171
OH,00467,177
KY,00100,5
IA,00270,24
AR,00379,103
MD,00492,58
ND,00184,30
UT,00820,149
CT,00491,119
SD,00375,7
UT,02494,98
GA,02435,52
NJ,00950,3
IN,00184,92
OK,02060,3
HI,00820,19
MT,00070,47
OH,00435,68
MA,00482,24
MB,00187,10
MO,02082,9
MD,00740,7
FL,00132,9
VA,00048,46
OR,00100,194
VT,00012,3
VT,00115,11
NC,02072,8
NC,00975,5
TX,00298,96
AZ,00045,110
CO,00192,101
MT,00012,95
IA,00460,17
WV,00851,6
NE,00100,215
NH,00843,12
AK,00610,4
WA,00845,27
CO,00019,106
IL,02039,31
IA,00483,19
IL,00435,82
LA,00491,152
OR,00031,423
GA,00770,58
ND,00245,8
MO,02003,52
CA,00745,184
VA,00745,3
CA,00930,122
GA,00032,532
CA,02061,112
IL,00001,138
ME,01004,4
IL,00901,3
LA,00129,30
IN,02003,5
NV,00406,101
WV,00491,15
IL,00821,24
WV,00111,10
WV,00882,26
TX,00018,418
MT,00132,19
CA,00965,178
MI,00004,2082
PA,00187,939
GA,00810,465
OH,02077,8
ND,00620,41
TN,00298,17
MB,00488,17
WY,00625,20
RI,00650,144
NY,00920,55
MI,VP943,23
NJ,00730,20
AL,00843,93
IA,00031,107
GA,00082,170
CO,00901,21
AL,00508,11
IN,00486,45
ID,00123,3
CO,00022,308
FL,00350,94
MT,00074,108
UT,00245,103
IN,00187,120
MO,00073,63
NH,00875,85
NV,02056,8
ON,02022,3
BC,00056,29
OR,00364,11
NM,00132,6
NM,02031,18
MN,01005,4
IN,00073,33
AK,02491,23
UT,VP941,4
NC,00697,260
ON,00001,3
MN,00005,335
WI,00460,123
MT,00920,19
OR,00492,339
TN,00990,37
WY,02492,7
MA,00078,41
MN,00115,275
CA,00950,28
GA,00195,261
BC,02488,3
ND,00002,33
CA,02002,60
IN,00530,49
AZ,00916,44
MI,00196,9
CA,00129,1936
UT,00108,120
HI,00481,3
WY,00872,53
SD,00200,146
WV,00942,3
MA,02102,191
AR,02041,4
IA,00965,4
WY,00100,71
AK,00650,7
PA,02785,7
GA,00840,274
NM,00433,60
NY,00765,29
TN,00755,26
SC,00187,76
MT,00810,60
NH,00408,121
CA,00613,963
CA,00197,144
WA,00032,159
AR,00114,113
MN,00630,108
IL,00250,4
NJ,00360,41
CO,00427,301
NH,00006,59
IN,00014,50
MS,00014,50
OR,00610,43
NJ,02005,24
KY,00006,16
AR,00720,14
IN,00050,12
NE,00755,10
CA,00811,228
KS,00850,211
SC,00080,36
CO,00883,95
TX,00780,116
VA,00187,103
PA,00616,402
PA,00044,299
NJ,00970,7
AK,00004,184
AZ,00070,53
SD,00070,162
PA,00934,17
ND,00199,118
KS,00854,65
ID,00880,57
FL,00001,667
OH,00745,32
AK,00061,24
ID,02002,5
MN,00132,7
SK,01488,7
OK,00990,6
WI,02044,22
MN,00845,78
GA,00254,91
HI,00467,13
NJ,02078,4
WY,00730,4
BC,02004,22
GA,VP941,6
ON,00070,6
OH,02494,43
OK,00129,138
MO,00400,42
MS,00039,206
CT,00079,11
GA,00077,16
TN,00770,28
FL,00990,76
MT,00875,61
AL,00195,64
MI,01102,90
MO,00006,59
AK,00114,5
UT,00060,757
NJ,00114,77
WA,01102,5
MA,00780,5
NE,00048,33
IA,00184,39
WA,00241,13
GA,00843,265
VA,00100,167
MA,00075,12
UT,00180,297
IN,00467,35
VT,00810,3
MO,00056,251
KS,00492,176
WY,02078,6
ID,00003,276
CO,02050,61
ME,00942,15
CT,00225,6
NH,00379,25
NV,00100,120
KY,00131,26
AR,00004,152
IA,00128,60
WV,00188,8
OH,00851,147
VA,00850,217
UT,00508,27
PA,00404,2845
SC,02005,20
NE,00520,44
WY,02032,12
AZ,02102,24
MS,00102,203
SD,00966,4
CO,00006,276
TN,02491,78
IN,00360,6
NC,00780,32
CT,00133,14
CA,02408,154
SC,02012,38
AR,00200,49
ND,00881,8
NV,00074,175
SK,00871,8
ME,02488,17
UT,00150,27
OH,00383,22
KS,00510,13
GA,00855,101
MI,00024,230
MT,00210,24
OR,00425,62
MS,00133,55
GA,02022,6
AR,00872,66
IL,00966,80
NJ,00865,42
IA,01488,38
MD,02078,7
MI,00492,1498
RI,00060,103
SC,00920,22
ON,00078,3
NE,00001,70
MI,02780,4
WA,00492,587
NJ,00610,72
ME,00408,45
HI,00133,15
NM,00045,67
ME,00400,3
AR,00061,81
AK,00613,63
NY,00242,13
MT,02044,8
NV,00003,229
ND,00061,177
NC,00003,372
OH,02488,33
LA,00045,41
OR,00482,15
NE,00075,75
UT,00187,575
PA,DC039,1794
MI,00697,622
OH,00400,58
MO,02072,3
OK,00039,77
HI,00840,5
CA,VP940,47
ID,00925,6
NV,00044,39
MA,00014,221
ND,00048,32
TX,00845,211
WI,00250,3
GA,00960,17
WA,00435,111
GA,00134,39
WY,01435,6
WI,00070,102
SC,00520,35
VT,00650,9
MT,02001,4
LA,00467,74
CT,00811,7
TN,00725,5
AL,00450,79
GA,00003,1095
AK,00383,3
VA,00032,173
SC,00254,22
NC,00745,6
NV,00965,5
AZ,00460,43
AK,00006,19
IL,00740,3
GA,00616,154
MI,00735,27
ME,00133,16
WV,00820,6
ND,00004,154
MD,00845,4
MA,00810,46
BC,00875,13
PA,00102,2224
NH,00494,175
IN,00613,21
UT,00943,295
FL,00039,1967
VT,00102,168
NC,02056,19
KS,00843,118
ID,01435,34
TX,00403,791
NJ,00024,46
TX,00975,36
NC,02050,15
VA,00060,211
UT,09009,3
TN,00133,100
FL,00080,822
MO,00775,10
WI,00871,100
IN,00428,3
BC,02492,4
AR,00082,51
AZ,00755,22
SD,02080,7
TN,02044,58
ND,00402,15
LA,00966,6
NV,00491,37
WV,00100,14
ID,00192,14
CT,00855,5
SC,00493,155
MI,00180,248
AZ,00433,428
HI,00975,3
NV,00006,14
CO,00481,161
CT,00243,5
NV,02078,43
MD,00134,3
CA,00192,289
FL,02074,33
KS,00114,4
PA,00975,7
MI,02435,40
FL,00966,137
VA,00488,343
HI,00108,3
WY,02488,52
MI,02070,14
MO,02435,30
VT,00941,16
NV,00133,18
AL,00403,103
LA,00616,19
OH,00841,10
SC,00006,13
TX,02024,37
SD,00134,12
NE,00620,7
TX,00427,881
TN,00650,122
UT,02483,6
ND,00250,12
CO,00005,335
OR,00871,60
MI,02006,10
NJ,00254,32
AZ,00079,101
OR,00350,46
DE,00880,6
NM,02012,13
WA,02006,30
SC,00460,66
SC,00966,21
MD,02061,7
AL,00875,131
NJ,00494,320
WV,00403,31
SC,00488,75
SC,00192,23
TN,00012,142
NJ,00843,176
KY,00350,5
OH,00075,120
RI,00079,289
MO,00199,203
AZ,00850,448
MN,01435,71
MD,00017,74
WV,00048,8
WY,00482,26
NE,00775,13
TN,00120,53
MI,09001,27
NC,00855,34
TN,00850,308
FL,00964,29
NE,00883,41
FL,00492,1849
PR,00061,4
MO,00138,88
OR,00003,420
NY,00870,155
CA,02720,11
SD,00245,28
DE,00493,14
IN,00880,96
PA,00610,320
FL,00433,876
AZ,00697,77
MO,00245,10
WI,00381,17
OR,00960,8
ND,02039,37
NY,00855,82
TN,00115,197
GA,02078,31
MS,00024,53
MT,00350,46
NM,00114,38
MA,00082,50
NV,00005,100
NE,00406,254
ID,00854,160
TX,00115,908
WI,00192,46
SC,00072,54
NC,00965,62
MO,00613,203
MN,00482,68
OR,02483,4
ON,02077,3
CO,00400,72
TX,00071,22
NC,00402,52
MI,02075,16
NY,00044,351
NE,00934,18
IN,00697,33
NJ,00006,173
KY,00406,80
KS,00880,58
CA,02494,388
MT,00617,3
MD,00024,12
MO,00365,15
OR,01102,11
AZ,00872,66
MI,00620,82
DE,00810,3
MN,00870,315
VT,00745,3
MI,00995,117
MT,00780,34
IA,02004,36
KY,02032,3
AZ,02031,41
TN,00491,567
PA,00660,428
LA,00195,28
KY,02494,7
TX,00483,78
MI,00188,164
IL,00810,203
MN,02032,8
TX,00126,569
SK,00482,5
AR,00298,13
IN,00481,9
IL,00995,58
LA,00488,273
LA,00404,82
IL,00965,31
NM,00018,19
WV,00408,14
BC,00942,39
MT,00941,82
NE,00225,37
HI,00245,23
WY,00004,239
NY,00060,537
PA,00425,176
FL,00405,30
MD,02031,6
MI,00017,990
HI,00425,6
OR,00019,35
MN,VP940,5
LA,00770,12
IA,02039,14
AK,01488,7
MI,00079,395
IN,01003,4
FL,00197,21
ME,00082,16
OH,00882,96
MO,00114,68
KS,00406,54
KY,00880,10
AZ,02001,6
AL,00187,169
KY,00032,45
UT,00140,584
NV,00130,5
MI,00865,135
CA,00404,3025
AK,00365,4
VA,00610,28
AR,00995,5
WV,00004,40
MA,00298,8
PA,00062,892
PA,00810,1173
IA,02031,5
NE,02102,4
NC,02493,82
TX,02012,49
OR,00880,132
AR,02493,16
MS,00745,18
MO,00060,182
PA,01005,15
IL,04000,24
NC,02077,5
GA,02032,119
AK,00133,39
TX,00810,915
AK,00298,10
NM,00184,62
PA,00294,13
AK,00841,5
IL,02080,5
MI,04000,72
AR,00755,22
MO,00101,173
MO,02041,10
TN,02001,40
MD,00056,31
LA,00720,3
OR,02077,6
OH,00050,145
SD,00810,86
IL,00039,390
SC,00625,23
CO,02061,113
WA,00058,340
NY,00364,24
OH,00494,434
RI,00002,84
MI,02031,68
MD,02006,11
SC,00845,3
MT,00005,151
OH,02780,4
VT,00820,5
AK,00075,27
MS,02005,6
TX,00405,306
ND,02488,10
ME,00840,8
MN,00427,238
IA,02012,3
OR,04100,12
CT,00870,11
KY,00260,30
VA,00077,5
WY,00045,72
TX,00019,237
CA,02400,36
UT,00865,219
CO,00102,994
IL,00811,40
LA,00610,4
NJ,00138,329
IA,00056,77
AL,00400,5
UT,09122,415
AZ,00039,413
AK,00079,13
GA,00406,483
NJ,00130,13
TX,00510,181
CA,00920,89
OH,00017,389
CT,00916,10
AZ,00012,127
NV,00966,31
MI,00039,1741
ND,00780,12
ME,00045,16
GA,02077,23
NC,00187,272
UT,00075,200
CA,00450,1169
NC,02032,3
CT,00406,39
MN,02056,78
VA,00966,45
OH,02006,6
TN,02102,62
TN,00200,207
NM,00402,32
IA,00019,11
BC,00770,7
WA,02078,32
AK,00048,33
NJ,00075,141
TX,00920,40
GA,00364,34
GA,00851,109
MO,00428,50
AR,02765,3
TN,00080,186
LA,00843,10
PA,03090,57
WY,00298,11
NM,00241,6
NV,00942,26
MS,00650,12
NY,02435,28
AR,00071,10
NJ,00720,43
TN,00821,4
IA,00845,10
ID,00072,159
NM,00199,49
IA,00427,88
BC,00467,20
IA,00821,5
TN,00930,4
VT,00005,11
CO,00625,106
AL,00966,13
NY,00494,1808
WY,00082,56
OH,02039,27
WV,00114,5
KS,00199,214
NV,00245,30
MN,00881,168
WV,00032,12
KS,00875,116
NE,02075,5
PA,02002,44
UT,09010,5
NE,00821,3
NV,00619,4
BC,00188,5
NC,VP943,9
IA,02488,25
NC,00108,60
IN,00488,105
MD,00870,19
CT,00180,40
OH,00138,146
ON,02493,3
PA,00129,2634
OH,00130,15
UT,02005,78
AZ,00770,11
MI,00050,657
NC,00901,8
IA,00941,39
VA,00481,34
NC,00004,534
CO,00493,802
ID,02032,3
TX,00450,686
NH,00062,20
KS,00872,47
WY,00408,73
AZ,00061,355
KS,00108,9
WA,00133,114
AL,00697,226
WI,00199,580
TX,00242,19
MT,00460,26
VT,00630,4
FL,02408,118
NM,00460,24
UT,00400,54
TN,00941,263
MN,00155,84
VT,00617,4
VA,00014,208
NV,00970,3
AR,00014,30
TX,00872,533
UT,00650,416
WY,00404,248
AZ,02003,74
NV,01003,4
MI,00071,43
LA,00493,117
FL,00381,105
MN,00184,243
MO,00942,111
NY,00129,677
IN,00100,34
MN,01102,21
NC,00101,45
MD,00871,10
AR,01488,32
MD,00995,9
WI,00134,17
CO,00120,266
FL,00930,19
PR,00404,5
CA,00996,6
DE,00062,4
FL,00006,476
PA,02074,14
ON,00851,10
TX,00074,238
WV,00045,15
KY,00072,8
MT,00630,79
MD,02492,8
AR,00079,51
AR,02070,5
WA,02075,29
CA,00041,454
CO,00610,120
ND,00243,33
NC,00150,4
NJ,00195,100
UT,00910,3
FL,00400,24
FL,00078,398
AK,00056,51
WY,02408,6
IN,00425,20
ME,00810,9
MI,00481,59
UT,00200,132
IN,00660,5
MS,00941,9
OR,00032,146
CA,00435,1176
VT,00260,12
HI,00061,6
MI,00520,108
CO,00379,252
MI,00031,1869
MO,00155,108
WA,00965,45
MN,00079,56
SD,00481,164
FL,00735,21
AL,00075,3
IL,00031,544
SC,00875,86
ID,00404,272
GA,02074,68
MS,00760,6
BC,00260,20
BC,00350,6
OH,04000,54
IL,00916,151
WV,00845,6
ND,02004,56
OR,00210,43
MD,00882,63
FL,02077,8
PA,00245,424
IL,01003,3
CA,00383,70
FL,00616,235
IA,00082,12
ND,00126,86
PA,00100,949
NC,00940,385
HI,00620,9
MT,00001,94
AB,00129,5
CT,00941,48
AR,00990,3
OH,00073,62
ND,00187,166
NH,00225,4
OR,00920,8
AL,00404,123
WI,00041,48
CA,00872,446
AL,00270,13
HI,00101,6
SC,00379,24
ON,00045,8
IN,00875,37
NV,00425,13
OH,02760,10
CT,00188,7
AZ,00050,129
VA,00882,108
KY,01488,5
GA,00428,24
MN,00018,246
VA,02072,7
GA,00486,176
VA,00843,161
NY,00111,88
TX,00625,197
WA,02082,4
AK,00697,36
NY,00530,165
SK,00241,6
FL,00403,357
OR,02012,21
GA,00004,1090
TX,00875,908
TX,00493,1281
GA,00245,112
AZ,00298,41
CO,00383,21
MI,00056,711
WA,00050,204
OH,00365,10
NV,00882,80
NJ,02039,9
AL,00616,18
TN,00460,30
GA,00750,46
NC,01003,85
QL,00404,4
SC,00481,6
IN,00872,17
VT,02102,34
BC,00102,3
SD,00298,13
GA,01003,137
NY,00134,21
OR,00883,77
MD,00188,10
NV,00014,141
OR,VP940,3
NC,00072,133
PA,00613,820
CO,00845,43
OR,00072,93
GA,00101,392
SD,00133,189
LA,00060,41
SD,00130,72
NY,00619,44
BC,00630,7
NC,00881,109
UT,00078,110
TX,00530,144
ID,02050,8
IN,00243,5
OK,02408,3
MI,02039,61
BC,00199,12
TN,00964,3
AR,00770,58
IA,00435,46
DE,00883,3
MO,00620,93
OH,00024,133
MO,00180,85
MO,00243,20
MT,00270,16
GA,00725,46
VT,00080,11
NJ,00840,45
MO,01004,5
MN,00072,61
NJ,00491,496
AR,02494,15
CO,00450,390
ID,00379,68
AB,00184,4
VA,00254,3
LA,00882,8
CT,02435,3
KS,00425,5
UT,00845,38
MT,04100,5
VT,00943,19
WI,00120,60
GA,00070,358
OK,00404,78
TN,00870,47
ON,00920,3
WA,00481,11
ID,02488,27
CO,04000,39
CA,00375,106
OH,00071,4
AZ,00041,54
WY,00925,3
CA,00697,1293
KS,00062,38
SD,00843,193
CO,02435,87
CO,00058,359
WA,00520,86
FL,00019,193
IL,00610,37
IL,00044,40
IN,00760,4
TX,00841,23
UT,00071,10
OR,00045,148
KS,00155,4
HI,00004,24
MO,00916,15
NJ,00811,80
WY,00854,140
ID,00966,60
NM,00061,131
IL,00450,159
TN,00199,366
KY,00082,3
NE,00210,16
MA,00875,15
MN,02003,277
IL,00002,157
MS,00003,202
MT,00854,94
OR,02102,29
NV,00199,89
PA,VP943,276
IA,00032,144
AR,00467,46
PA,00155,353
CO,00520,109
NV,00870,39
PA,00428,246
MI,00494,1536
NC,00012,152
FL,02024,22
ME,00002,31
WY,00018,50
PA,00750,92
OK,00966,25
VT,00850,4
PA,00004,2053
HI,00155,9
WI,00074,102
HI,00184,15
PA,00883,225
OR,00460,35
ME,00379,4
MT,00750,6
MD,00062,17
MT,02720,10
NC,00851,369
HI,00970,3
AR,00404,73
ON,00770,4
NY,00024,159
OR,02060,42
KY,00650,27
ID,00048,68
MT,00850,205
GA,02060,66
CO,02006,49
MS,00129,32
AZ,00467,140
MT,00003,255
LA,00298,5
UT,00050,410
NE,00617,7
IL,00192,51
KS,00184,50
IL,00882,75
UT,00126,398
MT,00745,10
UT,00435,550
IL,00493,470
WV,00073,6
PA,00406,1620
WI,00133,178
IA,00045,10
MD,00494,63
AL,00140,55
TN,02056,37
CO,00810,305
AR,00428,18
SC,00930,25
CA,00242,37
NY,00482,177
CA,00975,21
OK,00062,85
CA,00901,55
MN,00123,191
TX,02050,25
OK,00005,138
MT,00510,12
AK,02494,32
LA,00187,7
CO,01435,166
AR,00155,74
IA,02486,11
WA,00061,210
OR,00380,15
MO,00298,15
PA,00400,158
PA,00530,310
HI,00488,34
PA,DC820,1796
ON,00720,6
ME,02003,38
ON,00450,13
NE,00056,74
BC,00428,7
HI,00078,4
HI,00006,6
SC,00901,3
NE,00916,16
ON,02075,5
NH,00072,3
HI,00195,4
AK,00820,47
IN,00197,3
CT,00404,60
IA,00155,81
MS,02488,23
AR,00101,23
NE,00079,41
NJ,00428,26
ID,00129,84
NM,02488,18
NM,00630,27
NE,02006,3
KS,00404,233
UT,00966,48
WI,00930,7
AR,00406,160
BC,00433,20
AK,02102,8
BC,00492,47
KY,00494,116
PA,00450,828
FL,00192,88
ON,00942,20
MN,00435,184
MD,00241,9
NM,00785,14
RI,02003,20
CT,00045,26
AL,00138,56
ND,00073,40
UT,02435,28
NM,02039,11
WA,02060,60
OH,00114,33
OR,00005,200
SC,00003,156
WV,00060,9
IN,02039,6
MD,02408,7
MI,00851,108
OK,00871,3
AZ,00841,15
ON,00965,12
WA,00775,22
NY,00992,3
MO,00041,109
NJ,02493,60
AR,00730,26
NY,00405,11
TX,00428,175
NC,00381,14
IA,00133,15
MA,00012,104
NV,02039,8
FL,00131,231
CA,00250,173
KS,00126,19
WA,00072,68
NJ,00243,28
NH,00045,10
ID,00871,19
SC,00364,5
ID,00883,4
CA,00870,676
NE,00720,24
UT,00881,288
SK,00450,3
PA,02031,930
KY,00115,9
BC,01102,15
KY,00070,7
VA,02102,18
SC,02044,13
MI,00126,232
NE,00192,8
TX,00072,514
NY,00435,298
IA,00180,13
AR,00129,66
IL,00187,229
IL,00403,156
FL,00630,238
KS,00031,138
WI,00725,5
OR,00133,148
CT,02408,6
MD,00486,14
DE,02056,4
TN,02481,4
MI,00403,470
WY,00841,4
CT,00041,22
ON,00882,7
IA,02435,11
NM,01003,12
KY,00811,108
MI,02024,8
WA,02024,10
TX,00930,81
ON,00491,3
IL,00200,402
NC,00990,10
VT,00843,3
HI,00075,10
VA,00880,151
WA,00820,205
TX,03090,44
AZ,00005,112
WA,00925,7
GA,00872,255
RI,00427,55
OK,00100,19
ME,00210,7
SD,00150,12
NV,00650,25
CO,00934,34
AZ,02044,7
NY,00995,172
TX,00750,105
WY,00017,56
AZ,00129,272
FL,00138,482
AR,00197,6
AL,00131,16
PA,00079,324
UT,00002,125
TX,00960,63
PA,DC697,1792
TX,00101,509
NM,00044,108
NC,00400,15
FL,00100,333
MI,00920,24
HI,00050,15
AK,00022,29
ID,00620,15
AL,00870,210
AR,00760,32
MI,02408,76
ID,00100,79
ID,02072,3
MA,00941,49
IN,00140,77
WI,00821,57
GA,00074,481
CA,02492,401
